Small Unit Installation Postcode,Jan 2001 - Installations Quantity,Apr 2001 - Installations Quantity,May 2001 - Installations Quantity,Jun 2001 - Installations Quantity,Jul 2001 - Installations Quantity,Aug 2001 - Installations Quantity,Sep 2001 - Installations Quantity,Oct 2001 - Installations Quantity,Nov 2001 - Installations Quantity,Dec 2001 - Installations Quantity,Jan 2002 - Installations Quantity,Feb 2002 - Installations Quantity,Mar 2002 - Installations Quantity,Apr 2002 - Installations Quantity,May 2002 - Installations Quantity,Jun 2002 - Installations Quantity,Jul 2002 - Installations Quantity,Aug 2002 - Installations Quantity,Sep 2002 - Installations Quantity,Oct 2002 - Installations Quantity,Nov 2002 - Installations Quantity,Dec 2002 - Installations Quantity,Installations Quantity Total
2084,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,4
2085,0,1,1,0,0,0,1,2,0,0,1,0,2,1,0,0,2,0,1,1,0,1,14
2086,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,9
2087,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,6
2088,0,0,1,0,0,0,1,0,0,2,1,2,2,0,2,0,0,0,0,1,0,2,14
2089,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
2090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,3
2091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2
2093,0,1,0,0,0,0,0,2,0,1,1,0,0,2,0,1,0,2,0,0,2,0,12
2094,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
2095,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
2096,0,0,0,1,0,1,1,0,1,0,0,0,1,8,0,0,0,0,0,0,1,0,14
2097,0,0,0,0,0,0,0,1,1,0,1,1,3,0,1,1,0,0,1,0,0,0,10
2098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2099,0,1,2,1,0,0,0,1,2,0,1,1,0,0,1,0,0,0,1,0,1,2,14
2100,0,0,0,1,1,0,1,4,5,0,1,3,4,2,1,2,1,1,1,1,0,0,29
2101,0,1,1,1,0,1,0,0,0,0,0,0,0,3,1,0,0,0,3,1,1,0,13
2102,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,2,5
2103,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,6
2104,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
2105,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,4
2106,0,0,0,0,0,2,0,0,1,1,0,0,0,4,0,1,0,0,0,0,0,0,9
2107,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,2,1,0,7
2108,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,4
2110,0,0,0,0,0,0,0,2,0,1,0,0,0,1,1,0,0,0,0,0,1,0,6
2111,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
2112,0,0,1,0,0,2,1,2,0,0,1,0,2,4,1,1,1,0,1,2,1,0,20
2113,0,0,0,1,0,1,0,1,1,2,0,1,1,0,0,0,1,1,3,0,3,1,17
2114,0,0,0,0,0,0,1,2,0,0,0,0,2,0,1,0,0,0,1,0,0,0,7
2115,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
2116,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,5
