Small Unit Installation Postcode,Previous Years (2001-2018) - Installations Quantity,Previous Years (2001-2018) - SGU Rated Output In kW,Jan 2019 - Installations Quantity,Jan 2019 - SGU Rated Output In kW,Feb 2019 - Installations Quantity,Feb 2019 - SGU Rated Output In kW,Mar 2019 - Installations Quantity,Mar 2019 - SGU Rated Output In kW,Apr 2019 - Installations Quantity,Apr 2019 - SGU Rated Output In kW,May 2019 - Installations Quantity,May 2019 - SGU Rated Output In kW,Jun 2019 - Installations Quantity,Jun 2019 - SGU Rated Output In kW,Jul 2019 - Installations Quantity,Jul 2019 - SGU Rated Output In kW,Aug 2019 - Installations Quantity,Aug 2019 - SGU Rated Output In kW,Sep 2019 - Installations Quantity,Sep 2019 - SGU Rated Output In kW,Oct 2019 - Installations Quantity,Oct 2019 - SGU Rated Output In kW,Nov 2019 - Installations Quantity,Nov 2019 - SGU Rated Output In kW,Dec 2019 - Installations Quantity,Dec 2019 - SGU Rated Output In kW,Jan 2020 - Installations Quantity,Jan 2020 - SGU Rated Output In kW,Feb 2020 - Installations Quantity,Feb 2020 - SGU Rated Output In kW,Mar 2020 - Installations Quantity,Mar 2020 - SGU Rated Output In kW,Apr 2020 - Installations Quantity,Apr 2020 - SGU Rated Output In kW,Installations Quantity Total,SGU Rated Output In kW Total
5461,497,"2,171.970",4,24.690,3,21.630,1,3.850,2,11.630,2,11.500,11,183.815,2,12.210,3,15.840,4,37.770,7,51.510,2,17.490,2,23.940,3,16.740,0,0.000,3,18.220,0,0.000,546,"2,622.805"
5462,108,450.855,0,0.000,0,0.000,1,6.365,1,6.480,1,33.000,0,0.000,0,0.000,2,12.400,0,0.000,0,0.000,1,6.200,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,114,515.300
5464,76,317.730,1,6.600,3,15.665,1,2.900,1,5.015,2,16.500,2,9.450,2,75.240,3,25.955,1,18.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,3,19.600,0,0.000,95,512.655
5470,23,79.240,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,1,6.510,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,24,85.750
5471,10,39.420,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,1,29.400,0,0.000,0,0.000,0,0.000,0,0.000,11,68.820
5472,36,151.120,0,0.000,2,15.400,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,1,6.460,0,0.000,0,0.000,1,30.030,0,0.000,0,0.000,0,0.000,0,0.000,40,203.010
5473,157,564.235,0,0.000,0,0.000,1,2.200,0,0.000,0,0.000,3,20.900,1,4.200,1,6.600,3,57.060,5,46.330,1,6.510,0,0.000,1,12.540,0,0.000,3,25.125,0,0.000,176,745.700
5480,239,"1,095.602",0,0.000,0,0.000,1,6.555,2,18.975,0,0.000,0,0.000,1,6.600,3,44.400,0,0.000,1,7.150,0,0.000,2,9.450,0,0.000,1,6.600,2,26.950,0,0.000,252,"1,222.282"
5481,130,577.017,1,6.270,0,0.000,0,0.000,1,6.600,1,11.550,0,0.000,0,0.000,2,27.000,1,6.600,0,0.000,0,0.000,0,0.000,1,6.300,2,26.400,3,18.460,0,0.000,142,686.197
5482,114,574.630,0,0.000,0,0.000,0,0.000,1,19.800,0,0.000,0,0.000,1,5.440,0,0.000,0,0.000,0,0.000,0,0.000,1,4.400,0,0.000,2,12.540,1,7.360,0,0.000,120,624.170
5483,71,291.230,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,1,6.600,0,0.000,0,0.000,0,0.000,0,0.000,1,6.510,1,6.270,1,7.920,0,0.000,75,318.530
5485,125,508.299,0,0.000,0,0.000,0,0.000,0,0.000,3,18.470,0,0.000,1,9.300,1,13.110,2,13.200,0,0.000,0,0.000,1,6.600,1,8.250,0,0.000,0,0.000,2,14.400,136,591.629
5490,41,204.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,41,204.000
5491,379,"1,823.355",1,11.000,3,13.460,2,12.210,7,40.805,4,26.960,3,69.750,3,39.290,5,78.020,4,35.740,3,63.105,3,64.970,3,38.085,2,13.100,4,23.150,5,39.200,8,62.640,439,"2,454.840"
5493,21,62.195,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,2,13.230,0,0.000,0,0.000,0,0.000,1,9.300,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,24,84.725
5495,167,713.285,0,0.000,3,10.200,4,26.025,0,0.000,0,0.000,1,6.050,3,38.660,1,6.400,0,0.000,3,18.470,2,12.900,0,0.000,0,0.000,1,6.600,2,13.200,1,12.600,188,864.390
5501,"1,531","7,251.565",19,165.560,24,339.795,14,111.920,9,68.550,15,124.550,8,56.535,18,256.725,12,97.115,11,83.315,18,228.425,14,129.400,15,380.225,14,113.500,17,143.985,14,145.250,8,56.430,"1,761","9,752.845"
5502,314,"1,383.406",1,6.600,1,6.600,2,16.770,1,6.600,4,23.210,0,0.000,3,25.755,1,5.100,4,32.205,2,159.600,2,19.635,2,13.160,3,19.950,4,26.415,1,6.650,3,19.800,348,"1,771.456"
5510,27,99.340,0,0.000,0,0.000,0,0.000,0,0.000,1,4.950,1,5.400,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,29,109.690
5520,107,401.240,1,4.560,0,0.000,2,13.200,3,14.045,4,21.690,0,0.000,1,6.600,1,6.600,0,0.000,1,26.460,2,32.380,2,10.215,0,0.000,0,0.000,2,6.230,0,0.000,126,543.220
5521,35,140.090,0,0.000,0,0.000,2,7.965,0,0.000,0,0.000,0,0.000,0,0.000,1,6.900,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,38,154.955
5522,496,"1,957.447",1,5.940,4,21.150,1,6.600,1,30.030,3,20.730,0,0.000,3,19.425,4,45.645,2,11.725,4,16.500,6,39.200,5,25.020,2,12.900,7,39.185,3,19.815,0,0.000,542,"2,271.312"
