Small Unit Installation Postcode,Previous Years (2001-2018) - Installations Quantity,Jan 2019 - Installations Quantity,Feb 2019 - Installations Quantity,Mar 2019 - Installations Quantity,Apr 2019 - Installations Quantity,May 2019 - Installations Quantity,Jun 2019 - Installations Quantity,Jul 2019 - Installations Quantity,Aug 2019 - Installations Quantity,Sep 2019 - Installations Quantity,Oct 2019 - Installations Quantity,Nov 2019 - Installations Quantity,Dec 2019 - Installations Quantity,Jan 2020 - Installations Quantity,Feb 2020 - Installations Quantity,Mar 2020 - Installations Quantity,Apr 2020 - Installations Quantity,Installations Quantity Total
2264,"1,196",1,3,1,1,3,3,2,4,3,1,3,3,1,1,0,1,"1,227"
2265,643,1,1,0,0,12,0,1,1,2,1,2,0,0,1,0,0,665
2266,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2267,244,2,3,0,1,0,0,1,1,0,1,0,1,2,0,0,0,256
2268,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2278,168,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,169
2280,"1,179",3,4,2,0,3,1,1,0,0,0,4,3,1,1,0,0,"1,202"
2281,894,2,5,4,3,5,3,3,1,2,3,3,4,3,0,1,1,937
2282,718,0,0,2,1,2,2,2,2,0,0,1,1,1,1,3,1,737
2283,"1,730",3,3,4,9,7,6,6,12,3,2,1,1,2,1,1,1,"1,792"
2284,634,0,1,1,2,0,0,1,1,1,1,0,1,1,0,0,0,644
2285,"1,009",3,3,3,2,4,1,3,1,0,2,3,1,1,1,0,0,"1,037"
2286,370,0,0,0,0,1,1,0,0,0,0,2,2,3,0,0,0,379
2287,"1,319",4,5,2,4,5,1,1,3,1,10,5,5,2,3,2,7,"1,379"
2289,591,2,1,6,0,0,2,0,0,0,0,1,0,2,2,1,0,608
2290,"1,265",3,1,2,2,4,2,4,4,2,6,4,1,1,0,0,0,"1,301"
